event_id,event name,date,event summary,Key topic 1,Key topic 2,Key topic 3,location
e114,Annual Blockchain Workshop 2025,2025-08-20,The definitive event for anyone looking to stay ahead in the rapidly evolving blockchain landscape.,Metaverse,Machine Learning,Robotics,"Toronto, Canada"
e115,Annual Tech Hackathon 2025,2025-04-28,An exclusive event bringing together industry leaders to discuss the future of blockchain.,5G Technology,Big Data,Future of Work,"Calgary, Canada"
e116,Modern Blockchain Summit 2025,2025-08-31,A collaborative platform for professionals to share insights on transforming finance.,Natural Language Processing,Cloud Computing,Green Tech,"Edmonton, Canada"
e117,Blockchain Workshop,2025-02-25,A collaborative platform for professionals to share insights on transforming data science.,Augmented Reality,Robotics,Edtech,"Halifax, Canada"
e118,Global Design Conference 2025,2025-02-20,An exclusive event bringing together industry leaders to discuss the future of data science.,Green Tech,Natural Language Processing,Blockchain,"Quebec City, Canada"
e119,Modern Cybersecurity Expo,2025-01-02,A collaborative platform for professionals to share insights on transforming sustainability.,Data Analytics,NFTs,UI Design,"Calgary, Canada"
e120,Innovation Conference,2025-01-30,The definitive event for anyone looking to stay ahead in the rapidly evolving sustainability landscape.,Blockchain,Natural Language Processing,Product Management,"Vancouver, Canada"
e121,Marketing Summit 2025,2025-04-06,The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape.,Computer Vision,IoT,Fintech,"Saskatoon, Canada"
e122,Healthcare Meetup 2025,2025-10-17,A collaborative platform for professionals to share insights on transforming blockchain.,Big Data,DevOps,Remote Work,"Edmonton, Canada"
e123,Global Education Summit 2025,2025-02-07,Join experts and thought leaders to explore cutting-edge developments in sustainability.,Robotics,Augmented Reality,Digital Transformation,"Ottawa, Canada"
e124,Sustainability Meetup,2025-03-22,Join experts and thought leaders to explore cutting-edge developments in tech.,Cloud Computing,Big Data,Virtual Reality,"Vancouver, Canada"
e125,Emerging Data Science Meetup,2025-02-24,Join experts and thought leaders to explore cutting-edge developments in innovation.,Product Management,Entrepreneurship,Virtual Reality,"Toronto, Canada"
e126,Finance Meetup 2025,2025-02-17,An exclusive event bringing together industry leaders to discuss the future of healthcare.,Edtech,Ethical AI,Healthtech,"Halifax, Canada"
e127,AI Symposium,2025-01-05,A collaborative platform for professionals to share insights on transforming sustainability.,Big Data,Computer Vision,DevOps,"Edmonton, Canada"
e128,Next-Gen Blockchain Workshop 2025,2025-01-21,An exclusive event bringing together industry leaders to discuss the future of sustainability.,Augmented Reality,Blockchain,Cryptocurrency,"Quebec City, Canada"
e129,Innovation 2025,2025-01-13,A premier gathering focused on the latest advancements in design technologies and innovations.,Sustainability,Computer Vision,Future of Work,"Calgary, Canada"
e130,Healthcare Meetup 2025,2025-04-13,Join experts and thought leaders to explore cutting-edge developments in design.,UX Design,Robotics,Quantum Computing,"Halifax, Canada"
e131,Sustainability Hackathon 2025,2025-07-24,A premier gathering focused on the latest advancements in ai technologies and innovations.,Cloud Computing,Healthtech,Quantum Computing,"Edmonton, Canada"
e132,Sustainability 2025,2025-08-12,A collaborative platform for professionals to share insights on transforming tech.,Machine Learning,Digital Marketing,5G Technology,"Calgary, Canada"
e133,AI Hackathon,2025-07-06,The definitive event for anyone looking to stay ahead in the rapidly evolving cybersecurity landscape.,DevOps,Fintech,MLOps,"Quebec City, Canada"
e134,Sustainability Symposium 2025,2025-12-23,An exclusive event bringing together industry leaders to discuss the future of design.,DevOps,Green Tech,Ethical AI,"Toronto, Canada"
e135,Blockchain Forum,2025-06-05,A collaborative platform for professionals to share insights on transforming education.,Web3,Product Management,Future of Work,"Montreal, Canada"
e136,Annual Cybersecurity Hackathon 2025,2025-12-04,An exclusive event bringing together industry leaders to discuss the future of design.,Deep Learning,Computer Vision,Augmented Reality,"Winnipeg, Canada"
e137,Education Forum,2025-11-09,A collaborative platform for professionals to share insights on transforming finance.,Augmented Reality,Data Analytics,Machine Learning,"Vancouver, Canada"
e138,Future of Data Science Expo 2025,2025-08-06,A collaborative platform for professionals to share insights on transforming education.,Digital Marketing,Ethical AI,MLOps,"Winnipeg, Canada"
e139,Finance Expo 2025,2025-11-10,Join experts and thought leaders to explore cutting-edge developments in education.,Digital Marketing,Entrepreneurship,Augmented Reality,"Ottawa, Canada"
e140,Innovation Meetup 2025,2025-08-14,An exclusive event bringing together industry leaders to discuss the future of healthcare.,Data Analytics,Metaverse,Sustainability,"Montreal, Canada"
e141,AI 2025,2025-12-28,An exclusive event bringing together industry leaders to discuss the future of sustainability.,Fintech,Sustainability,Deep Learning,"Saskatoon, Canada"
e142,Digital Tech Hackathon,2025-07-14,The definitive event for anyone looking to stay ahead in the rapidly evolving innovation landscape.,Metaverse,Entrepreneurship,UX Design,"Quebec City, Canada"
e143,Finance 2025,2025-09-06,The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape.,Deep Learning,Green Tech,IoT,"Quebec City, Canada"
e144,Digital Data Science Conference,2025-03-11,Join experts and thought leaders to explore cutting-edge developments in blockchain.,Sustainability,UX Design,Fintech,"Ottawa, Canada"
e145,Digital Tech Conference,2025-02-11,A premier gathering focused on the latest advancements in blockchain technologies and innovations.,Augmented Reality,NFTs,Deep Learning,"Saskatoon, Canada"
e146,Future of Data Science Expo 2025,2025-03-20,Join experts and thought leaders to explore cutting-edge developments in education.,Blockchain,Edge Computing,DevOps,"Vancouver, Canada"
e147,Cybersecurity 2025,2025-10-24,An exclusive event bringing together industry leaders to discuss the future of blockchain.,Cloud Computing,DevOps,Edge Computing,"Saskatoon, Canada"
e148,Next-Gen Sustainability Forum,2025-01-22,A collaborative platform for professionals to share insights on transforming healthcare.,Entrepreneurship,Cloud Computing,Healthtech,"Edmonton, Canada"
e149,Innovation 2025,2025-11-22,The definitive event for anyone looking to stay ahead in the rapidly evolving cybersecurity landscape.,5G Technology,Future of Work,Remote Work,"Quebec City, Canada"
e150,Advanced Healthcare Workshop 2025,2025-10-31,The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape.,Sustainability,Cybersecurity,Deep Learning,"Winnipeg, Canada"
e151,International Education Workshop,2025-06-16,Join experts and thought leaders to explore cutting-edge developments in cybersecurity.,Ethical AI,Machine Learning,Digital Marketing,"Calgary, Canada"
e152,Innovation 2025,2025-02-13,A collaborative platform for professionals to share insights on transforming education.,Edtech,Deep Learning,IoT,"Ottawa, Canada"
e153,Modern Innovation Workshop,2025-04-24,The definitive event for anyone looking to stay ahead in the rapidly evolving sustainability landscape.,Quantum Computing,Healthtech,Ethical AI,"Edmonton, Canada"
e154,Digital Cybersecurity Meetup,2025-06-30,A premier gathering focused on the latest advancements in blockchain technologies and innovations.,5G Technology,Cryptocurrency,NFTs,"Calgary, Canada"
e155,Advanced Innovation Meetup 2025,2025-09-05,Join experts and thought leaders to explore cutting-edge developments in blockchain.,Machine Learning,5G Technology,Big Data,"Ottawa, Canada"
e156,Sustainability Meetup 2025,2025-01-24,Join experts and thought leaders to explore cutting-edge developments in ai.,Future of Work,Edtech,Cybersecurity,"Montreal, Canada"
e157,Advanced Education Summit 2025,2025-01-27,A premier gathering focused on the latest advancements in finance technologies and innovations.,Data Analytics,DevOps,IoT,"Calgary, Canada"
e158,Finance Workshop,2025-03-02,A collaborative platform for professionals to share insights on transforming cybersecurity.,DevOps,Natural Language Processing,Cloud Computing,"Calgary, Canada"
e159,Cybersecurity Summit 2025,2025-11-17,A premier gathering focused on the latest advancements in blockchain technologies and innovations.,Fintech,Edtech,Future of Work,"Ottawa, Canada"
e160,Cybersecurity 2025,2025-01-17,The definitive event for anyone looking to stay ahead in the rapidly evolving design landscape.,NFTs,Healthtech,Edge Computing,"Halifax, Canada"
e161,Data Science Meetup 2025,2025-04-26,The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape.,UI Design,Edtech,Edge Computing,"Winnipeg, Canada"
e162,Advanced Innovation Forum,2025-12-19,The definitive event for anyone looking to stay ahead in the rapidly evolving ai landscape.,Computer Vision,Healthtech,MLOps,"Saskatoon, Canada"
e163,AI Workshop,2025-05-09,A premier gathering focused on the latest advancements in marketing technologies and innovations.,Cryptocurrency,Future of Work,Digital Marketing,"Winnipeg, Canada"
e164,Marketing 2025,2025-05-23,Join experts and thought leaders to explore cutting-edge developments in healthcare.,Cloud Computing,Blockchain,Cybersecurity,"Quebec City, Canada"
e165,Cybersecurity Forum,2025-12-22,Join experts and thought leaders to explore cutting-edge developments in ai.,Edge Computing,Green Tech,Product Management,"Toronto, Canada"
e166,Emerging Education Forum 2025,2025-12-03,A collaborative platform for professionals to share insights on transforming marketing.,Natural Language Processing,Web3,UX Design,"Halifax, Canada"
e167,Advanced Education Expo 2025,2025-03-09,An exclusive event bringing together industry leaders to discuss the future of design.,DevOps,Ethical AI,Machine Learning,"Halifax, Canada"
e168,Blockchain 2025,2025-07-28,Join experts and thought leaders to explore cutting-edge developments in data science.,Product Management,UX Design,Fintech,"Winnipeg, Canada"
e169,Education 2025,2025-08-30,A premier gathering focused on the latest advancements in blockchain technologies and innovations.,UX Design,Fintech,Cybersecurity,"Halifax, Canada"
e170,Cybersecurity Meetup,2025-05-17,The definitive event for anyone looking to stay ahead in the rapidly evolving education landscape.,Future of Work,Quantum Computing,Cybersecurity,"Halifax, Canada"
e171,Education Hackathon 2025,2025-10-06,A collaborative platform for professionals to share insights on transforming finance.,Computer Vision,MLOps,Future of Work,"Quebec City, Canada"
e172,Design 2025,2025-07-17,A premier gathering focused on the latest advancements in tech technologies and innovations.,Edtech,Cloud Computing,Digital Marketing,"Winnipeg, Canada"
e173,International Finance Symposium 2025,2025-01-08,A collaborative platform for professionals to share insights on transforming marketing.,IoT,Cybersecurity,5G Technology,"Quebec City, Canada"
e174,Innovation Expo,2025-06-12,Join experts and thought leaders to explore cutting-edge developments in ai.,Metaverse,IoT,Healthtech,"Vancouver, Canada"
e175,Annual Education Symposium,2025-11-21,Join experts and thought leaders to explore cutting-edge developments in healthcare.,Digital Transformation,Healthtech,Data Analytics,"Calgary, Canada"
e176,Marketing Symposium 2025,2025-09-29,An exclusive event bringing together industry leaders to discuss the future of ai.,Entrepreneurship,Data Analytics,Metaverse,"Winnipeg, Canada"
e177,Advanced Education Meetup 2025,2025-11-23,A premier gathering focused on the latest advancements in education technologies and innovations.,Edtech,Quantum Computing,DevOps,"Quebec City, Canada"
e178,Education Meetup 2025,2025-12-20,The definitive event for anyone looking to stay ahead in the rapidly evolving finance landscape.,Quantum Computing,UI Design,Deep Learning,"Quebec City, Canada"
e179,Marketing Conference,2025-05-21,Join experts and thought leaders to explore cutting-edge developments in cybersecurity.,Metaverse,NFTs,Virtual Reality,"Montreal, Canada"
e180,Annual Design Conference,2025-11-18,An exclusive event bringing together industry leaders to discuss the future of tech.,IoT,UI Design,MLOps,"Quebec City, Canada"
e181,Data Science Hackathon,2025-03-31,Join experts and thought leaders to explore cutting-edge developments in data science.,Cybersecurity,Edge Computing,Remote Work,"Vancouver, Canada"
e182,Design Forum,2025-03-14,The definitive event for anyone looking to stay ahead in the rapidly evolving cybersecurity landscape.,Edge Computing,Remote Work,Digital Transformation,"Ottawa, Canada"
e183,Modern Design Hackathon 2025,2025-10-27,The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape.,MLOps,Metaverse,Robotics,"Winnipeg, Canada"
e184,Advanced Design Forum 2025,2025-12-25,A premier gathering focused on the latest advancements in data science technologies and innovations.,Cloud Computing,Augmented Reality,5G Technology,"Montreal, Canada"
e185,Healthcare Forum,2025-07-18,A premier gathering focused on the latest advancements in innovation technologies and innovations.,Entrepreneurship,Fintech,UX Design,"Toronto, Canada"
e186,Blockchain 2025,2025-12-20,The definitive event for anyone looking to stay ahead in the rapidly evolving healthcare landscape.,Quantum Computing,Natural Language Processing,Green Tech,"Ottawa, Canada"
e187,Education Summit 2025,2025-04-08,Join experts and thought leaders to explore cutting-edge developments in marketing.,Augmented Reality,Big Data,Web3,"Vancouver, Canada"
e188,Marketing Workshop 2025,2025-10-11,An exclusive event bringing together industry leaders to discuss the future of data science.,Big Data,5G Technology,Virtual Reality,"Montreal, Canada"
e189,Tech Symposium 2025,2025-02-26,An exclusive event bringing together industry leaders to discuss the future of blockchain.,Virtual Reality,Natural Language Processing,Big Data,"Quebec City, Canada"
e190,Innovation 2025,2025-09-27,A collaborative platform for professionals to share insights on transforming marketing.,Product Management,Metaverse,Computer Vision,"Halifax, Canada"
e191,Digital Design Conference 2025,2025-06-04,A collaborative platform for professionals to share insights on transforming design.,Edtech,Robotics,IoT,"Edmonton, Canada"
e192,International AI Symposium,2025-11-08,Join experts and thought leaders to explore cutting-edge developments in marketing.,Sustainability,Digital Marketing,UI Design,"Winnipeg, Canada"
e193,Finance Summit 2025,2025-09-16,A collaborative platform for professionals to share insights on transforming innovation.,Edtech,Metaverse,Fintech,"Edmonton, Canada"
e194,Modern Finance Summit,2025-08-21,An exclusive event bringing together industry leaders to discuss the future of healthcare.,Future of Work,Robotics,IoT,"Vancouver, Canada"
e195,AI Hackathon 2025,2025-02-17,Join experts and thought leaders to explore cutting-edge developments in marketing.,Edge Computing,Fintech,Quantum Computing,"Quebec City, Canada"
e196,Advanced Marketing Meetup,2025-01-27,A collaborative platform for professionals to share insights on transforming blockchain.,Metaverse,Cloud Computing,Quantum Computing,"Halifax, Canada"
e197,Cybersecurity 2025,2025-07-08,The definitive event for anyone looking to stay ahead in the rapidly evolving design landscape.,Deep Learning,UX Design,Cryptocurrency,"Ottawa, Canada"
e198,Advanced Healthcare Hackathon 2025,2025-12-26,A premier gathering focused on the latest advancements in data science technologies and innovations.,Data Analytics,Deep Learning,IoT,"Halifax, Canada"
e199,Modern Finance Expo,2025-04-21,The definitive event for anyone looking to stay ahead in the rapidly evolving healthcare landscape.,IoT,Natural Language Processing,Data Analytics,"Montreal, Canada"
e200,Global Design Summit,2025-11-13,A collaborative platform for professionals to share insights on transforming education.,Fintech,UX Design,Web3,"Halifax, Canada"
